Campaign_ID,Campaign_Name,Brand,Product_Category,Influencer_ID,Influencer,Influencer_Type,Platform,Audience_Group,Campaign_Date,Followers,Reach,Impressions,Likes,Comments,Shares,Clicks,Conversions,Spend,Revenue,Total_Engagement,Engagement_Rate,ROI,Conversion_Rate,Cost_Per_Engagement
CMP00001,Campaign_1,Samsung,Fitness,INF174,Influencer_11,Mega,X,Gen Z,2025-09-21,3778966,2472607,2698412,147766,26612,10569,349510,31865,89254,172363,184947,7.48,93.12,9.12,0.48
CMP00002,Campaign_2,Boat,Food,INF008,Influencer_110,Mega,TikTok,Millennials,2024-01-18,4681580,2595299,4966016,49039,7445,4838,495563,43932,92626,92972,61322,2.36,0.37,8.87,1.51
CMP00003,Campaign_3,Adidas,Fashion,INF158,Influencer_33,Mega,Facebook,Adults,2025-08-06,4015526,2385550,2926355,156488,28875,7477,34837,3943,94119,194078,192840,8.08,106.2,11.32,0.49
CMP00004,Campaign_4,Samsung,Fashion,INF121,Influencer_296,Mega,Instagram,Professionals,2025-09-21,4190670,1188173,1331963,109674,18974,1783,70840,15419,390635,1152377,130431,10.98,195.0,21.77,2.99
CMP00005,Campaign_5,Samsung,Electronics,INF071,Influencer_292,Mega,TikTok,Millennials,2024-06-21,3917060,2936407,4556200,83299,5747,1768,402912,21797,212821,689527,90814,3.09,223.99,5.41,2.34
CMP00006,Campaign_6,Zara,Travel,INF296,Influencer_61,Mega,TikTok,Gen Z,2025-09-01,4689283,2312207,2711917,192739,20228,9321,219454,52074,362202,382264,222288,9.61,5.54,23.73,1.63
CMP00007,Campaign_7,Puma,Beauty,INF296,Influencer_97,Mega,Instagram,Millennials,2025-03-24,4036489,1401837,2542680,81267,7627,391,141254,3629,444103,506483,89285,6.37,14.05,2.57,4.97
CMP00008,Campaign_8,Boat,Fitness,INF164,Influencer_76,Mega,Instagram,Gen Z,2024-04-22,2605902,836916,905771,36965,4657,920,133234,5356,10256,13135,42542,5.08,28.07,4.02,0.24
CMP00009,Campaign_9,Mamaearth,Fashion,INF147,Influencer_257,Mega,YouTube,Professionals,2024-10-28,1654410,846306,985520,79568,4501,1833,31401,5146,327861,416346,85902,10.15,26.99,16.39,3.82
CMP00010,Campaign_10,Boat,Food,INF208,Influencer_78,Mega,Instagram,Millennials,2025-09-11,2085586,744579,857452,75006,11929,4496,40898,1626,309750,296785,91431,12.28,-4.19,3.98,3.39
CMP00011,Campaign_11,Mamaearth,Electronics,INF280,Influencer_212,Macro,TikTok,Adults,2024-10-05,944492,825529,1068966,95802,9379,3377,72473,6758,42623,111899,108558,13.15,162.53,9.32,0.39
CMP00012,Campaign_12,Zara,Fitness,INF251,Influencer_198,Mega,Facebook,Professionals,2024-08-06,4301542,1551329,2726515,172480,11679,586,42698,1885,115709,212999,184745,11.91,84.08,4.41,0.63
CMP00013,Campaign_13,Mamaearth,Fashion,INF173,Influencer_151,Macro,YouTube,Millennials,2025-04-15,772146,484745,896751,11316,167,620,31618,1010,320631,859893,12103,2.5,168.19,3.19,26.49
CMP00014,Campaign_14,Adidas,Fashion,INF261,Influencer_279,Mega,Instagram,Gen Z,2024-12-23,3285021,2219533,3063422,203667,16215,18854,256375,28376,233071,268025,238736,10.76,15.0,11.07,0.98
CMP00015,Campaign_15,Mamaearth,Gaming,INF158,Influencer_219,Mega,Instagram,Professionals,2025-11-05,4817118,2985303,4481581,50174,9552,710,96160,542,232023,242367,60436,2.02,4.46,0.56,3.84
CMP00016,Campaign_16,Nike,Food,INF118,Influencer_40,Micro,Instagram,Millennials,2024-02-25,16216,12686,14975,490,47,37,2110,527,146995,408522,574,4.52,177.92,24.98,256.09
CMP00017,Campaign_17,Nike,Fitness,INF273,Influencer_213,Mega,X,Gen Z,2024-08-26,3904410,2091766,2744967,236605,27737,776,170034,39726,314056,892613,265118,12.67,184.22,23.36,1.18
CMP00018,Campaign_18,Zara,Electronics,INF146,Influencer_299,Macro,X,Millennials,2025-11-19,234064,60449,91885,1314,246,46,3674,942,466119,757933,1606,2.66,62.61,25.64,290.24
